diagnostico: diff <(build/mc1 --dump-asm src/mc.mc) <(build/mc2 --dump-asm src/mc.mc)	diagnosis: diff <(build/mc1 --dump-asm src/mc.mc) <(build/mc2 --dump-asm src/mc.mc)
metodo com parametros demais (self conta; na interface, o ponteiro da vtable tambem)	method with too many parameters (self counts; in the interface, the vtable pointer does too)
FALHA: servidor nao respondeu em nenhuma porta de $((18000 + $$ % 1000)) a $porta	FAIL: server did not respond on any port from $((18000 + $$ % 1000)) to $porta
ok syntax/syntax_stmt/type_alias: mc_syntax_demo compila o teste (exit 42)	ok syntax/syntax_stmt/type_alias: mc_syntax_demo compiles the test (exit 42)
FAIL: o pass de demonstracao nao alterou --dump-ast de tests/061-pass.mc	FAIL: the demo pass did not change --dump-ast of tests/061-pass.mc
ok user_init com tok_add nao desloca os ids do nucleo (tests/001 = 42)	ok user_init with tok_add does not shift the core ids (tests/001 = 42)
FAIL: o compilador ensinado nao compilou lib/syntax_demo_test.mc: $msg	FAIL: the taught compiler did not compile lib/syntax_demo_test.mc: $msg
  diff de --dump-asm e regrave o golden — ver tests/golden/README.md)	  --dump-asm diff and rewrite the golden -- see tests/golden/README.md)
$((total - fails))/$total objetos identicos (arm64-surface vs macho)	$((total - fails))/$total objects identical (arm64-surface vs macho)
ponteiro relocado em __TEXT: o segmento e r-x e o dyld nao o rebasa	relocated pointer in __TEXT: the segment is r-x and dyld will not rebase it
FAIL: '$mc0' nao encontrado ou nao executavel (rode 'make stage0')	FAIL: '$mc0' not found or not executable (run 'make stage0')
  (se a mudanca em src/*.mc ou no codegen foi proposital, revise o	  (if the change in src/*.mc or in codegen was intentional, review the
reloc UNSIGNED exige 8 bytes: use inicializador de array global	reloc UNSIGNED requires 8 bytes: use a global array initializer
  AVISO: $golden nao existia — gravado agora com o hash atual:	  WARNING: $golden did not exist -- recorded now with the current hash:
FAIL: o pass alterou --dump-ast de $f (esperado so 061-pass)	FAIL: the pass changed --dump-ast of $f (expected only 061-pass)
[x] comprar pao #10\nrect area=20\ncirc area=12\ntotal=42\n	[x] buy bread #10\nrect area=20\ncirc area=12\ntotal=42\n
depois bissecte por arquivo/funcao (ver docs/bootstrap.md)	then bisect by file/function (see docs/bootstrap.md)
-- criterio do ponto fixo: cmp build/mc2.o build/mc3.o --	-- fixed-point criterion: cmp build/mc2.o build/mc3.o --
